


النَّصُّ بِالْعَرَبِيَّة	 |  Terjemahan Bahasa Indonesia

#المحادثة الثانية: طلَبُ الإِذْنِ لِدُخُولِ الفَصْلِ	Percakapan |2: Meminta izin masuk kelas
الطَّالِبُ: اَلسَّلَامُ عَلَيْكُمْ يَا أُسْتَاذُ، هَلْ أَسْتَطِيعُ الدُّخُولَ؟ | Murid: Assalamu’alaikum, wahai Ustadz, apakah saya boleh masuk?
الأُسْتَاذُ: وَعَلَيْكُمُ السَّلَامُ. لِمَاذَا تَأَخَّرْتَ؟	| Ustadz: Wa’alaikumussalam. Mengapa kamu terlambat?
الطَّالِبُ: عُذْرًا يَا أُسْتَاذُ، كَانَتْ عِنْدِي مُشْكِلَةٌ فِي الطَّرِيقِ.	| Murid: Maaf, Ustadz, saya tadi ada masalah di jalan.
الأُسْتَاذُ: هَلْ جِئْتَ بِكِتَابِكَ؟	Ustadz: | Apakah kamu membawa bukumu?
الطَّالِبُ: نَعَمْ يَا أُسْتَاذُ، هُوَ فِي حَقِيبَتِي.	| Murid: Ya, Ustadz, ada di dalam tasku.
الأُسْتَاذُ: حَسَنًا، أدْخُلْ وَاجْلِسْ فِي مَكَانِكَ.	| Ustadz: Baiklah, masuklah dan duduk di tempatmu.
الطَّالِبُ: شُكْرًا جَزِيلًا يَا أُسْتَاذُ.	| Murid: Terima kasih banyak, Ustadz.

